n units 500,n units 1000,n units 2000,n units 3000,True Effect
0.63382,0.6369499999999999,0.62205,0.6135999999999999,0.62548
0.6144800000000001,0.65984,0.619365,0.66133,0.62548
0.64412,0.6428,0.6317349999999999,0.5940433333333333,0.62548
0.59138,0.62393,0.6253449999999999,0.6511366666666667,0.62548
0.60896,0.62145,0.618065,0.6329233333333333,0.62548
0.5410200000000001,0.5952200000000001,0.6322399999999999,0.6301066666666667,0.62548
0.6225,0.64928,0.6214649999999999,0.6448133333333332,0.62548
0.6405,0.66614,0.581485,0.65035,0.62548
0.66098,0.58538,0.638095,0.62287,0.62548
0.5701,0.6386800000000001,0.678255,0.6450166666666667,0.62548
0.51692,0.5966899999999999,0.608765,0.64934,0.62548
0.6491600000000001,0.6006400000000001,0.6238549999999999,0.6210066666666667,0.62548
0.66828,0.6598900000000001,0.64058,0.6659900000000001,0.62548
0.6589,0.57583,0.62496,0.6469433333333333,0.62548
0.5808800000000001,0.59704,0.6177,0.6450566666666666,0.62548
0.57132,0.61252,0.663875,0.64211,0.62548
0.65022,0.6295200000000001,0.59771,0.6050866666666667,0.62548
0.5926400000000001,0.57406,0.62974,0.6181233333333334,0.62548
0.64598,0.59685,0.659985,0.6362666666666668,0.62548
0.58728,0.60713,0.620545,0.6371199999999999,0.62548
0.54986,0.63652,0.6437550000000001,0.6434466666666667,0.62548
0.59184,0.5929599999999999,0.6167499999999999,0.63815,0.62548
0.61904,0.5950599999999999,0.63679,0.6315033333333333,0.62548
0.62526,0.61777,0.6476200000000001,0.6444766666666666,0.62548
0.5767199999999999,0.6270199999999999,0.61521,0.6470866666666667,0.62548
0.67506,0.60504,0.5968450000000001,0.6416166666666666,0.62548
0.6609400000000001,0.53674,0.61929,0.6232766666666667,0.62548
0.65552,0.58298,0.6359349999999999,0.6398299999999999,0.62548
0.63984,0.63388,0.63375,0.62622,0.62548
