n units 500,n units 1000,n units 2000,n units 3000,n units 4000,n units 5000,True Effect
0.0868,0.058946,0.08541,0.062426,0.0679635,0.0701392,0.0711244
0.097276,0.08367,0.054619,0.076528,0.069544,0.0531392,0.0711244
0.083532,0.045802,0.078462,0.076354,0.062312,0.07376,0.0711244
0.068396,0.069386,0.090412,0.07687133333333333,0.0793245,0.0730032,0.0711244
0.0718,0.085006,0.07771,0.07218866666666666,0.079002,0.0741912,0.0711244
0.04968,0.091542,0.049691,0.05733866666666667,0.074972,0.058942,0.0711244
0.05812,0.079662,0.067247,0.071244,0.068201,0.0635432,0.0711244
0.057696,0.104946,0.061981,0.072452,0.0735705,0.0788112,0.0711244
0.130572,0.051932,0.084048,0.06735533333333334,0.0642175,0.0815012,0.0711244
-0.00194,0.067888,0.064849,0.07760133333333333,0.0633975,0.0651584,0.0711244
0.081988,0.086596,0.071135,0.06127066666666667,0.0716425,0.0675888,0.0711244
0.07178,0.089246,0.069927,0.088002,0.0690075,0.0668384,0.0711244
0.061792,0.097414,0.07807,0.082464,0.0772585,0.074994,0.0711244
0.06648,0.068116,0.059199,0.07540666666666666,0.0745965,0.0712148,0.0711244
0.05164,0.056036,0.06277,0.06296866666666667,0.0745505,0.0624464,0.0711244
0.070308,0.080498,0.072876,0.071798,0.066475,0.0766376,0.0711244
0.092492,0.063888,0.068254,0.06294333333333334,0.058243,0.0721508,0.0711244
0.088104,0.055416,0.066053,0.07739133333333334,0.0600775,0.0745388,0.0711244
0.05694,0.059274,0.068352,0.057622,0.057006,0.0673716,0.0711244
0.074116,0.081356,0.066502,0.06681866666666667,0.0703345,0.070236,0.0711244
0.094448,0.084118,0.058519,0.07410733333333333,0.068343,0.072206,0.0711244
0.108552,0.069748,0.068534,0.07880266666666666,0.0700055,0.0673968,0.0711244
0.063816,0.06709,0.074674,0.062100666666666665,0.075933,0.0744316,0.0711244
0.083024,0.082672,0.05928,0.069164,0.066351,0.066324,0.0711244
0.077992,0.054916,0.084681,0.06854933333333334,0.0712085,0.0706284,0.0711244
0.014716,0.070398,0.083958,0.07394466666666667,0.0765055,0.0773584,0.0711244
0.077208,0.077202,0.083709,0.07370666666666667,0.065543,0.0808856,0.0711244
0.07462,0.068134,0.058495,0.07921,0.066151,0.0647224,0.0711244
