n units 500,n units 1000,n units 2000,n units 3000,n units 4000,n units 5000,True Effect
0.10676,0.10473,0.0744875,0.042542222222222224,0.056485,0.0874576,0.0709648
0.11332,0.06918,0.0734175,0.07566222222222223,0.0837,0.062066,0.0709648
0.09772,0.04616,0.10807,0.10824333333333333,0.078355625,0.0629008,0.0709648
0.09812,0.08435,0.08095,0.07357888888888889,0.05699125,0.0743748,0.0709648
0.12356,0.04206,0.101235,0.06987777777777777,0.069845625,0.0885812,0.0709648
0.02532,0.07743,0.0868475,0.08236222222222223,0.06933125,0.0715576,0.0709648
0.08064,0.09272,0.0853325,0.06683444444444445,0.079604375,0.075984,0.0709648
0.09424,0.07511,0.08545,0.06788,0.071204375,0.0853992,0.0709648
0.08812,0.08148,0.0451725,0.0843,0.07963375,0.0594592,0.0709648
0.0062,0.07601,0.071725,0.07293,0.0852475,0.0756208,0.0709648
0.0884,0.10991,0.0903175,0.09524888888888888,0.062636875,0.0593964,0.0709648
0.10924,0.08429,0.0604375,0.05003333333333333,0.07814875,0.0845652,0.0709648
0.03704,0.07807,0.06137,0.06694,0.089655625,0.0829468,0.0709648
0.06304,0.09404,0.0845525,0.06444666666666667,0.070945625,0.0572928,0.0709648
0.04016,0.10022,0.0768,0.06918888888888888,0.04535375,0.0691192,0.0709648
0.13068,0.05939,0.07482,0.05789111111111111,0.06686625,0.0597984,0.0709648
0.08472,0.08138,0.054055,0.07775777777777777,0.07328625,0.0766716,0.0709648
0.04828,0.07685,0.077595,0.07913111111111111,0.085195,0.0757572,0.0709648
0.07144,0.07468,0.0485825,0.08318222222222223,0.0819775,0.078786,0.0709648
0.046,0.05104,0.0553575,0.04077111111111111,0.071738125,0.07103,0.0709648
0.19464,0.08752,0.0788125,0.07553666666666667,0.069674375,0.0524672,0.0709648
0.06396,0.06186,0.0974525,0.06329333333333333,0.058525625,0.071194,0.0709648
0.0876,0.0729,0.0773,0.06291111111111111,0.08326625,0.0689516,0.0709648
0.06224,0.08569,0.0782325,0.07913555555555556,0.06100875,0.0611976,0.0709648
0.0996,0.06801,0.05931,0.07651555555555556,0.06411375,0.0799308,0.0709648
0.02388,0.10621,0.0880275,0.059111111111111114,0.059625625,0.0671796,0.0709648
0.10016,0.10739,0.04698,0.05418888888888889,0.07083375,0.0794816,0.0709648
0.08428,0.07909,0.0878725,0.05582555555555556,0.062908125,0.086396,0.0709648
0.13216,0.12285,0.0879125,0.05837666666666667,0.07742125,0.048626,0.0709648
0.05316,0.06626,0.070035,0.08280222222222222,0.077738125,0.0703628,0.0709648
