n units 500,n units 1000,n units 2000,n units 3000,n units 4000,n units 5000,True Effect
0.046128,0.085358,0.078704,0.07361933333333333,0.0811695,0.095222,0.0707968
0.067044,0.104082,0.064508,0.076766,0.0732175,0.0566036,0.0707968
0.06188,0.077198,0.072711,0.050096666666666664,0.0747455,0.0873472,0.0707968
0.061068,0.115856,0.04873,0.059064,0.0669495,0.0571516,0.0707968
0.02492,0.100692,0.058053,0.043369333333333336,0.079006,0.0602704,0.0707968
0.0401,0.10744,0.081381,0.07376666666666666,0.077359,0.084408,0.0707968
0.087424,0.0129,0.100442,0.06039666666666667,0.0664615,0.0737288,0.0707968
0.080276,0.065222,0.068341,0.065048,0.068757,0.0597236,0.0707968
0.045816,0.04153,0.074471,0.06414666666666667,0.080636,0.079632,0.0707968
0.12366,0.09619,0.059386,0.07145466666666667,0.100328,0.0608888,0.0707968
0.037012,0.05901,0.066102,0.054306,0.088096,0.0801056,0.0707968
0.114704,0.114422,0.096635,0.064612,0.066518,0.0841236,0.0707968
0.055336,0.124862,0.037242,0.06057333333333333,0.057625,0.0613192,0.0707968
0.061316,0.067182,0.081779,0.078054,0.0558775,0.0929648,0.0707968
0.112536,0.065872,0.077953,0.053224,0.075269,0.0779024,0.0707968
0.117376,0.089474,0.070797,0.07838733333333334,0.061599,0.0614512,0.0707968
0.091416,0.075162,0.07034,0.06936933333333334,0.0641575,0.089588,0.0707968
-0.01748,0.080078,0.07916,0.06339333333333333,0.0832285,0.0678552,0.0707968
0.09318,0.061352,0.083248,0.06158866666666667,0.0863845,0.0884304,0.0707968
