n units 500,n units 500 L_est,n units 1000,n units 1000 L_est,n units 2000,n units 2000 L_est,n units 3000,n units 3000 L_est,n units 4000,n units 4000 L_est,n units 5000,n units 5000 L_est,True Effect
0.4782314130369021,"(0.3712087054585137, 3.712087055585137, 0.519546296252592)",0.4963477691013221,"(0.3095249429853224, 3.4569359383889546, 0.8623118485130158)",0.4625716215221257,"(0.3062562156771761, 3.350440262851346, 0.8334215068147452)",0.386631827421542,"(0.269797205119639, 3.4284446527699735, 0.7249210278551266)",0.3921316339437685,"(0.16276250179590104, 3.5669746044857202, 0.6773096769723833)",0.40106744338536554,"(0.3578348405340355, 3.5783484063403552, 0.6672313608573676)",0.4279034
0.34833322181964066,"(0.22040231096114585, 3.9000960966057305, 0.6877166774090053)",0.5704402340664719,"(0.3485408123288172, 3.485408124288172, 0.6494638775248479)",0.5006982164282628,"(0.23090263129592675, 3.4681804685390922, 0.7109615446942779)",0.3283539449131865,"(0.11800154181661143, 3.455576242905949, 0.6161158609149036)",0.35502105133600576,"(0.0984892672643656, 3.2459445100703563, 0.8110011959615485)",0.4561290207601793,"(0.37392691749516577, 3.739269175951658, 0.7343871692585177)",0.4279034
0.6136499852952699,"(-0.29161392959633875, 3.075403923453884, 0.9080218200431691)",0.3996216696839215,"(-0.14315808377283165, 3.3091736930317173, 0.7830293576975915)",0.5524166599736327,"(0.1109902976315855, 3.302345022156105, 0.674683462647657)",0.39436933383645806,"(0.2039700713978962, 3.427247012484629, 0.7628492686303203)",0.4581069159841646,"(0.17944701498124807, 3.7071457969893804, 0.7167374538158138)",0.45726298558613976,"(0.1010533925078437, 3.580767332837645, 0.7271386849253388)",0.4279034
0.2766691295436885,"(0.39227311139875903, 4.381165291509663, 0.6715909522721072)",0.4412171562590629,"(-0.10259892968992794, 3.6165985322460297, 0.8240422859359077)",0.4769437738402375,"(0.3515372033069258, 3.515372034069258, 0.6335458727847981)",0.3399732238196422,"(-0.09807504657176476, 3.4921826155560067, 0.7754210493712035)",0.47071951292231706,"(0.30383272898087327, 3.462699551495573, 0.6710307485186517)",0.46433656203910234,"(0.19676159199945392, 3.670687177004831, 0.7724791530436984)",0.4279034
0.34522329793930573,"(-0.3604345070746771, 3.604345071746771, 0.6545923391712309)",0.5878119620014345,"(0.01758296424091777, 3.114166216155458, 0.6630528990528068)",0.46015739133063355,"(0.3749960186353528, 3.749960187353528, 0.5794178624487553)",0.4375808756187425,"(0.3345415553492087, 3.481744079200721, 0.6073285760917992)",0.4038256292172421,"(0.07607778832777261, 3.6483138037484983, 0.7268140387725992)",0.4215287102569254,"(0.10852692310098169, 3.539540175834324, 0.7314225259970077)",0.4279034
0.32322007594743607,"(-0.357604678117254, 4.091487244785621, 0.690041005329373)",0.43065647598664386,"(0.3303904017833724, 3.3039040188337245, 0.5721419824871598)",0.3757873917651543,"(-0.16104656784593496, 3.621578801866797, 0.75557671041545)",0.41195170719903734,"(0.3056549897204174, 3.39560196738291, 0.5877139696103305)",0.4774479890915482,"(0.2663138011502272, 3.406320545741798, 0.7371232022004409)",0.39502474226787665,"(0.3396256278812608, 3.489405040929162, 0.5999511112078576)",0.4279034
0.38490871551286576,"(-0.37503704114165226, 3.750370412416523, 0.72009159832899)",0.4252601927739561,"(0.2174711972881794, 3.502792338094486, 0.7488501572501631)",0.4116968965820677,"(0.34254467572094927, 3.425446758209493, 0.7104451873690101)",0.44919896951399385,"(-0.09083264974490628, 3.295368038700629, 0.6918138853762662)",0.4544957794514165,"(-0.04865905914320787, 3.6819931650525706, 0.7308983029345136)",0.4424940424916223,"(0.31697568252233765, 3.481143724624655, 0.6694197920472384)",0.4279034
0.344078306191865,"(0.31463602905918236, 4.2649963593717635, 0.8594585492163529)",0.45232179669114697,"(0.3028004494048385, 3.028004495048385, 0.6647267628293269)",0.4174783447996905,"(-0.20189149512657895, 3.1104838935565673, 0.7061196849496275)",0.42082398970215734,"(-0.031047981436039578, 3.6011777165998398, 0.6543087585717814)",0.4578974638213932,"(0.1277340015732809, 3.6483032345465234, 0.823665141227107)",0.4087209521530861,"(0.3520227263513464, 3.5202272645134642, 0.8185043336754035)",0.4279034
0.2853346827155542,"(0.18401696713029767, 3.259327122275218, 0.6283242600942895)",0.4086419715350106,"(0.35484320618319243, 3.548432062831924, 0.6676640953151941)",0.39042902521367495,"(0.3320910747111045, 3.320910748111045, 0.6850330321237932)",0.40883133462818777,"(0.10413950805086959, 3.5241915702254487, 0.7238233041186548)",0.41941646802448057,"(0.06557169580304306, 3.4330488688015603, 0.7450644184932909)",0.35966977546193485,"(-0.11181012871225564, 3.5021134599863157, 0.6637053395281611)",0.4279034
0.37147751981098526,"(-0.08651479668589535, 4.050615739962942, 0.5407592082889304)",0.3930434123721227,"(0.1835723551597673, 3.2884582869729413, 0.6950795247728998)",0.36231273811653214,"(0.060599905432280526, 3.3565000002657324, 0.5935094461178239)",0.40065863581694067,"(0.26567396504189966, 3.493182798138568, 0.6306558951718204)",0.39670376638824995,"(0.1120332071444525, 3.6035086226359696, 0.7521623503313084)",0.43029787032140826,"(0.3492899462696098, 3.492899463696098, 0.7324394269757286)",0.4279034
